audit,2007A,2007B,2007C,2007D,2007E,2008A,2008B,2008C,2008D,2008E,2009A,2009B,2009C,2009D,2009E,2010A,2010B,2010C,2010D,2010E,2011A,2011B,2011C,2011D,2011E,2012A,2012B,2012C,2012D,2012E,2013A,2013B,2013C,2013D,2013E,2014A,2014B,2014C,2014D,2014E,2015A,2015B,2015C,2015D,2015E,2016A,2016B,2016C,2016D,2016E,2017A,2017B,2017C,2017D,2017E
Y,78.38,1.19,231.9,1.66,5.83,100.39,7.19,145.71,1.78,6.7,106.89,10.73,135.1,1.35,5.36,138.99,7.69,89.81,1.2,4.53,140.03,7.44,95.49,1.13,3.29,198.9,-2.37,99.59,0.8,2.24,129.28,-5.96,98.99,0.73,2.45,95.71,-22.88,101.39,0.71,2.59,160.48,1.46,88.6,0.97,3.37,131.99,6.98,82.49,1.01,3.25,124.04,0.08,85.97,0.93,2.75
Y,82.85,-6.19,93.69,0.5,2.81,180.97,-0.46,132.43,0.48,2.54,129.41,-2.13,100.96,0.2,1.01,423.74,-5.13,71.81,0.29,2.23,75.43,-5.67,72.03,0.13,1.15,112.6,17.64,28.94,0.09,1.35,115.81,3.78,34.1,0.14,2.09,242.14,5.1,31.88,0.29,3.08,160.3,3.34,21.42,0.33,3.33,464.47,4.32,8.62,0.45,3.53,383.03,4.27,8.81,0.62,3.67
Y,204.98,4.24,110.57,0.84,4.65,123.01,-1.73,132.07,0.63,3.9,87.07,2.67,171.28,0.6,3.87,86.78,3.01,185.04,0.75,5.1,75.16,4,235.99,0.75,4.39,88.77,5.33,261.86,0.74,3.24,77.77,4,228.2,0.54,2.44,70.29,6.78,215.14,0.77,4.12,79.91,3.8,155.89,0.56,3.22,93.11,3.87,93.15,0.53,3.76,88.85,2.85,77.84,0.57,4.03
Y,217.27,1.97,76.58,1.4,2.37,176.37,-16.51,104.36,1.36,2.01,257.06,-8.63,76.42,1.31,2.22,135.77,-20.1,102.41,0.96,1.85,169.37,0.47,97.79,0.95,1.94,110.26,-11.66,248.01,0.7,2.57,66.31,-43.18,443.46,0.37,2.22,179.87,21.66,25.04,0.13,1.53,311.35,-6.07,27.15,0.68,6.23,164.25,-33.4,40.66,0.37,2.89,142.66,-27.49,72.84,0.11,1.34
Y,226.48,-55.63,14.29,0.28,2.62,10.07,-207.91,421.33,0.17,0.81,201.85,-25.94,31.93,0.33,1.81,267.69,-32.69,53.12,0.63,2.37,196.06,-81.43,80.71,0.27,0.63,216.7,-104.65,38.33,0.36,0.53,694.48,5.44,19.74,0.69,0.9,45.52,3.72,86.18,0.11,0.18,135.49,-38.24,76.7,0,0,226.74,-57.6,57.7,0.35,1.75,222.31,-19.1,51.44,2.09,4.83
Y,156.07,-309.5,592.25,0.71,3.45,340.33,6.48,383.53,2.95,11.67,158.5,11.4,293.8,2.27,8.59,231.44,-5.3,83.39,1.46,5.56,178.06,3.12,97.65,0.98,3.7,75.22,3.23,200.95,0.66,2.71,101.25,-21.94,283.88,0.38,2.22,4.79,-116.99,0,0.3,1.9,157.38,-36.78,35.65,0.69,3.3,161.31,-11.22,109.82,1.56,4.77,139.31,-29.1,112.18,1.19,3.29
Y,136.95,-11.39,52.11,0.22,2.72,108.79,-6.22,73.51,0.26,1.9,133.63,8.42,70.76,0.43,1.89,253.77,-3.18,57.12,0.3,1.23,242.48,-5.32,81.17,0.33,1.42,119.14,-7.58,102.07,0.28,1.04,101.62,-8.21,113.3,0.32,1.01,89.25,-19.42,117.15,0.24,0.64,107.31,-8.36,103.8,0.29,0.77,93.82,-21.41,135.87,0.31,0.81,142.19,-17.33,92.53,0.36,0.92
Y,318.28,-203.5,232.24,0.29,1.34,178.61,2.59,202.21,1.14,2.95,124.16,-2.55,142.27,0.94,2.04,100.09,-6.74,296.33,0.77,1.95,120.52,-5.1,344.9,0.61,1.79,79.1,0.01,223.41,0.5,1.65,66.42,-25.25,365.51,0.5,1.69,64.5,1.16,304.56,0.72,2.21,76.5,4.45,179.23,0.82,2.51,110.02,0.28,168.57,0.86,2.5,91.29,-7.03,252.43,0.81,2.38
Y,95.44,4.52,368.2,1,5.21,95.09,3.31,671.5,0.91,4.47,96.03,3.72,364.65,0.8,3.2,89.82,5.32,250.63,0.82,2.79,82.01,5.17,221.42,0.85,2.7,86.67,0.95,213.39,0.87,2.97,100.97,-4.55,301.65,0.91,2.95,90.47,-6.03,702.84,0.9,2.6,66.07,-14.16,4012.05,0.85,2.63,63.63,-19.58,5543.69,0.75,2.18,108.68,6.03,301.7,0.87,2.09
Y,130.08,-16.63,48.61,2.24,12.51,172.05,3.87,57.93,1.69,14.29,174.12,3.92,47.54,1.78,13.87,142.59,3.08,60.44,1.95,11.76,100.88,-1.81,87.45,1.87,12.86,109.36,-0.71,85.69,1.69,15.98,94.47,-7.22,102.18,1.18,10.83,150.65,-1.35,75.46,1.39,9.96,142.27,-2.82,116.4,1.17,9.78,157.29,3.96,93.56,1.53,12.39,180.51,9.98,87.99,1.72,11.16
