audit,2007E,2008E,2009E,2010E,2011E,2012E,2013E,2014E,2015E,2016E,2017E
Y,5.83,6.7,5.36,4.53,3.29,2.24,2.45,2.59,3.37,3.25,2.75
Y,2.81,2.54,1.01,2.23,1.15,1.35,2.09,3.08,3.33,3.53,3.67
Y,4.65,3.9,3.87,5.1,4.39,3.24,2.44,4.12,3.22,3.76,4.03
Y,2.37,2.01,2.22,1.85,1.94,2.57,2.22,1.53,6.23,2.89,1.34
Y,2.62,0.81,1.81,2.37,0.63,0.53,0.9,0.18,0,1.75,4.83
Y,3.45,11.67,8.59,5.56,3.7,2.71,2.22,1.9,3.3,4.77,3.29
Y,2.72,1.9,1.89,1.23,1.42,1.04,1.01,0.64,0.77,0.81,0.92
Y,1.34,2.95,2.04,1.95,1.79,1.65,1.69,2.21,2.51,2.5,2.38
Y,5.21,4.47,3.2,2.79,2.7,2.97,2.95,2.6,2.63,2.18,2.09
Y,12.51,14.29,13.87,11.76,12.86,15.98,10.83,9.96,9.78,12.39,11.16
Y,5.11,5.15,5.2,5.46,5.33,5.53,5.4,4.82,4.61,3.83,3.97
Y,4.83,7.85,8.7,7.61,11.49,11.28,13.38,14.39,16.07,17.34,16.12
Y,4.2,4.02,3.46,3.61,3.34,2.83,2.86,3.51,3.76,3.93,4.03
Y,1.88,1.29,1.5,1.96,1.45,1.91,2.98,3.4,2.86,1.85,3.22
Y,12.75,13.77,11.5,12.6,8.01,6.18,7.79,8.13,7.99,8.87,8.96
Y,3.97,3.93,3.62,3.85,3.98,4.18,0,0.02,27.89,21.9,13.85
Y,6.07,6.42,6.68,6.49,5.32,5.39,0,0,16.02,8.43,9.25
Y,2.8,3.81,3.82,4.05,4.14,4.01,3.44,4.36,5.11,5.04,4.59
Y,8.64,9.84,7.12,4.58,5.27,4.12,4.62,4.89,7.37,14.25,8.63
Y,7.45,8.74,7.03,8.05,7.12,5.77,5.36,5.58,4.71,3.96,5.49
Y,3.65,4.06,4.41,4.47,4.01,3.4,3.27,2.86,2.89,2.84,2.83
Y,5.05,6.56,7.17,8.53,8.15,7.87,7.66,6.67,7.26,12.88,19.5
Y,4.21,5.13,5.7,5.01,5.42,6.02,7.3,5.74,4.49,4.75,5.3
Y,6.31,8.34,9.61,7.11,4.32,4.62,4.13,3.63,3.57,3.89,3.79
Y,2.92,3.42,2.29,2.98,2.15,2.19,2.08,2.14,1.87,1.66,2.19
Y,7.61,6.07,4.43,4.17,6.55,7.2,4.98,4.64,3.24,3.08,3.1
Y,1.46,1.86,1.56,1.77,1.96,1.57,2.26,2.11,2.29,2.33,1.02
Y,2.03,1.58,1.42,1.2,1,1,1.5,1.21,1.15,1.2,1.01
Y,1.56,2.99,1.87,1.63,1.7,1.7,2.1,2.49,3.12,3.69,3.87
Y,2.76,2.6,2.93,2.86,2.62,2.7,2.92,2.31,3.89,5.17,5.05
Y,3.16,4.03,5.58,5.76,4.45,3.48,2.83,2.52,2.68,3.02,3
Y,1.94,10.48,6.08,2.04,0.65,0.29,0.25,0.47,0.1,0.39,0.21
Y,6.47,4.03,5.7,5.24,5,3.64,5.83,5.81,4.49,5.41,4.97
Y,25.86,28.31,29.49,29.29,29.5,22.17,15.46,10.27,9.13,8.44,13.13
Y,4.26,7.09,6.86,7.55,6.78,5.79,6.38,1.36,1.3,5.91,5.54
N,4.43,3.58,3.48,3.07,2.87,3.19,3.4,2.78,2.68,2.61,2.61
N,4.36,3.84,3.49,2.87,2.88,2.63,2.54,2.97,3.17,4.05,2.19
N,3.56,3.64,4.4,4.8,4.23,4.2,5.76,6.82,9.26,8.41,6.87
N,3.06,3.53,3.46,4.58,4.18,2.19,2.29,3.21,2.54,1.84,2.22
N,2.66,2.53,2.63,2.97,2.83,3,3.09,3.26,0.01,0.35,7.78
N,4.24,5.99,4.52,4.71,5.06,5.05,5.15,5.22,4.42,4.59,4.5
N,8.47,7.24,6.55,5.93,5.15,4.46,3.84,3.84,3.52,3.3,3.25
N,1.88,2.35,2.58,3.22,2.95,2.59,2.86,3.82,4.8,4.89,5
N,1.98,2.11,2.31,2.41,2.15,2.23,2.6,3.66,3.76,4.38,4.83
N,6.27,5.87,4.24,4,5.94,6.96,6.75,8.42,7.3,5.56,4.96
N,2.33,2.66,2.57,2.78,2.88,3.01,2.67,2.4,2.54,2.68,3
N,6.56,5.8,4.71,3.56,3.28,2.52,2.58,2.73,2.49,2.61,2.58
N,4.64,7.16,3.43,3.42,3.41,3.01,2.25,2.15,2.2,2.62,3.02
N,11.86,10.7,7.55,5.56,6.4,7.15,4.71,5.35,4.46,3.88,4.02
N,6.55,2.37,3.79,5.8,2.3,4.45,3.47,2.86,4.04,15.72,3.85
N,5.45,4.66,4.12,6.88,8.1,8.64,11.33,23.21,14.71,7.03,7.46
N,2.49,2.04,2.03,2.36,2.83,2.37,2.4,2.5,2.66,2.69,2.57
N,3.42,11.68,94.04,22.67,12.39,7.64,6.76,3.26,4.43,3.46,2.52
N,5.65,6.03,8.3,6.61,6.59,7.24,8.13,8.5,10.32,12.26,7.63
N,4.2,4.89,5.77,4.84,4.22,4.59,0,0.19,4.78,3.85,3.11
N,2.63,2.8,2.76,3.03,3.42,4.13,3.88,3.56,2.84,2.59,2.95
N,8.72,10.77,8.99,11.94,12.85,11.47,50.81,11.63,1.6,3.82,4.64
N,5.4,5.88,4.95,6.19,5.77,4.49,4.14,3.94,3.71,3.2,3.12
N,1.59,3.93,2.35,1.97,4.21,14.29,10.96,1.6,0.14,2.31,1.64
N,8.58,7.77,8.34,9.24,8.21,7.58,6.71,4.84,4.4,5.35,5.7
N,3.11,3.36,3.32,3.09,3.06,2.93,2.94,3.07,3.4,3.69,3.59
N,7.04,8.57,7.4,6.08,5.35,4.58,4.79,5.46,5.27,9.34,8.14
N,8.66,8.12,9.55,14.2,6.93,4.84,4.89,4.88,4.72,4.78,4.52
N,8.05,10.71,10.77,11.8,8.24,7.78,6.64,5.71,3.85,4.05,3.95
N,6.01,8.04,5.75,5.31,5.65,5.59,6.86,5.84,5.48,5.8,6.06
N,1.23,3.29,3.29,3.66,2.45,1.9,1.75,2.09,2.55,2.28,3.82
N,3.52,3.3,2.96,2.48,0,0,0,0,0,0,0
N,2.51,4.07,2.49,5.33,5.97,5.31,5.04,4.7,5.55,5.38,2.89
N,4.01,4.21,5.1,7.13,4.28,4.39,5.01,4.32,4.4,5.33,5.17
N,7.49,7.32,4.83,3.71,3.66,2.79,1.84,2.97,2.04,2.2,2.16
N,4.19,3.43,3.77,3.83,2.9,2.75,3.21,3.13,2.64,2.34,2.19
N,4.11,4.11,4.08,3.27,3.08,3.23,4.17,4.18,3.75,3.64,3.52
N,4.62,4.82,5.13,6.21,6.69,7.78,7.38,7.25,6.56,7.57,7.17
N,3.25,3.77,4.11,4.18,4.59,4.39,4.87,5.16,5.81,6,5.66
N,2.36,1.51,1.84,2.18,1.99,8.17,3.46,6.3,10.79,10.7,7.12
N,6.56,6.88,6.76,7.18,5.16,5.91,6.47,7.44,10.95,10.13,11.01
N,3.17,3.61,3.69,3.43,3.1,3.1,2.87,2.81,3.24,3.26,2.94
N,2.13,3.01,4.64,3.86,3.57,3.49,3.68,3.73,3.9,3.31,3.34
N,10.37,10.95,11.72,8.88,7.11,7.92,6.63,6.22,4.57,5.73,7.44
N,20.78,19.61,20.29,21.7,21.06,18.23,18.76,11.82,9.99,10.41,12.87
N,3.66,6.61,11.53,5.53,3.6,7.16,4.93,1.28,1.04,2.24,0.35
N,10.41,11.69,9.67,9.53,9.26,8.98,8.92,8.83,8.76,8.92,7.7
N,4.61,4.01,3.69,3.89,2.83,2.8,3.17,2.89,2.96,2.96,3.47
N,1.95,4.48,5.09,4.12,2.54,2.44,3.33,2.37,1.42,1.31,1.53
N,1.28,2.47,3.21,2.9,2.54,2.43,2.71,2.64,2.79,2.61,2.49
N,8.39,8.9,6.43,6.62,4.74,4.07,3.63,3.18,3.16,3.7,4.1
N,12.6,20.71,4.3,6.53,10.82,11.41,13.82,13.12,7.53,7.71,7.97
N,6.92,12.74,11.46,13.17,23.03,30.25,30.81,25.34,12.27,17.88,4.91
N,5.96,10,3.83,11.4,11.52,11.4,10.3,11.63,14.71,9.12,7.71
N,5.85,6.69,5.13,5.12,5.36,5.14,5.78,5.65,6.59,6.51,8.58
N,14.87,12.9,11.64,13.4,11.69,10.03,8.85,8.2,6.17,6.25,6.55
N,7.5,6.59,5.06,4.83,4.39,5.09,7.39,6.6,7.55,8.14,7.69
