audit,2011A,2011B,2011C,2011D,2012A,2012B,2012C,2012D,2013A,2013B,2013C,2013D,2014A,2014B,2014C,2014D,2015A,2015B,2015C,2015D,2016A,2016B,2016C,2016D,2017A,2017B,2017C,2017D
Y,140.03,7.44,95.49,1.13,198.9,-2.37,99.59,0.8,129.28,-5.96,98.99,0.73,95.71,-22.88,101.39,0.71,160.48,1.46,88.6,0.97,131.99,6.98,82.49,1.01,124.04,0.08,85.97,0.93
Y,75.43,-5.67,72.03,0.13,112.6,17.64,28.94,0.09,115.81,3.78,34.1,0.14,242.14,5.1,31.88,0.29,160.3,3.34,21.42,0.33,464.47,4.32,8.62,0.45,383.03,4.27,8.81,0.62
Y,75.16,4,235.99,0.75,88.77,5.33,261.86,0.74,77.77,4,228.2,0.54,70.29,6.78,215.14,0.77,79.91,3.8,155.89,0.56,93.11,3.87,93.15,0.53,88.85,2.85,77.84,0.57
Y,169.37,0.47,97.79,0.95,110.26,-11.66,248.01,0.7,66.31,-43.18,443.46,0.37,179.87,21.66,25.04,0.13,311.35,-6.07,27.15,0.68,164.25,-33.4,40.66,0.37,142.66,-27.49,72.84,0.11
Y,196.06,-81.43,80.71,0.27,216.7,-104.65,38.33,0.36,694.48,5.44,19.74,0.69,45.52,3.72,86.18,0.11,135.49,-38.24,76.7,0,226.74,-57.6,57.7,0.35,222.31,-19.1,51.44,2.09
Y,178.06,3.12,97.65,0.98,75.22,3.23,200.95,0.66,101.25,-21.94,283.88,0.38,4.79,-116.99,0,0.3,157.38,-36.78,35.65,0.69,161.31,-11.22,109.82,1.56,139.31,-29.1,112.18,1.19
Y,242.48,-5.32,81.17,0.33,119.14,-7.58,102.07,0.28,101.62,-8.21,113.3,0.32,89.25,-19.42,117.15,0.24,107.31,-8.36,103.8,0.29,93.82,-21.41,135.87,0.31,142.19,-17.33,92.53,0.36
Y,120.52,-5.1,344.9,0.61,79.1,0.01,223.41,0.5,66.42,-25.25,365.51,0.5,64.5,1.16,304.56,0.72,76.5,4.45,179.23,0.82,110.02,0.28,168.57,0.86,91.29,-7.03,252.43,0.81
Y,82.01,5.17,221.42,0.85,86.67,0.95,213.39,0.87,100.97,-4.55,301.65,0.91,90.47,-6.03,702.84,0.9,66.07,-14.16,4012.05,0.85,63.63,-19.58,5543.69,0.75,108.68,6.03,301.7,0.87
Y,100.88,-1.81,87.45,1.87,109.36,-0.71,85.69,1.69,94.47,-7.22,102.18,1.18,150.65,-1.35,75.46,1.39,142.27,-2.82,116.4,1.17,157.29,3.96,93.56,1.53,180.51,9.98,87.99,1.72
Y,190.98,6.27,81.56,0.57,163.83,8.08,141.8,0.49,190.08,5.64,122.31,0.48,146.91,5.29,152.35,0.52,147.35,2.25,178.1,0.5,246.44,2.83,157.98,0.36,184.49,3.53,84.89,0.35
Y,229.61,4.55,16.31,0.95,208.36,5.5,16.35,0.91,310.75,7.8,10.98,0.97,329.19,7.83,15.81,0.9,230.08,6.08,15.62,0.8,201.64,6.48,16.41,0.75,133.82,6.77,22.16,0.76
Y,119.84,1.07,241.88,1.32,120.19,-1.52,185.21,1.15,110.22,-8.85,224.9,1.18,113.6,0.91,212.79,1.48,120.36,0.7,190.97,1.71,116.52,2.09,192.52,1.73,130.46,5.85,160.15,1.57
