audit,2011A,2011B,2011C,2011E,2012A,2012B,2012C,2012E,2013A,2013B,2013C,2013E,2014A,2014B,2014C,2014E,2015A,2015B,2015C,2015E,2016A,2016B,2016C,2016E,2017A,2017B,2017C,2017E
Y,140.03,7.44,95.49,3.29,198.9,-2.37,99.59,2.24,129.28,-5.96,98.99,2.45,95.71,-22.88,101.39,2.59,160.48,1.46,88.6,3.37,131.99,6.98,82.49,3.25,124.04,0.08,85.97,2.75
Y,75.43,-5.67,72.03,1.15,112.6,17.64,28.94,1.35,115.81,3.78,34.1,2.09,242.14,5.1,31.88,3.08,160.3,3.34,21.42,3.33,464.47,4.32,8.62,3.53,383.03,4.27,8.81,3.67
Y,75.16,4,235.99,4.39,88.77,5.33,261.86,3.24,77.77,4,228.2,2.44,70.29,6.78,215.14,4.12,79.91,3.8,155.89,3.22,93.11,3.87,93.15,3.76,88.85,2.85,77.84,4.03
Y,169.37,0.47,97.79,1.94,110.26,-11.66,248.01,2.57,66.31,-43.18,443.46,2.22,179.87,21.66,25.04,1.53,311.35,-6.07,27.15,6.23,164.25,-33.4,40.66,2.89,142.66,-27.49,72.84,1.34
Y,196.06,-81.43,80.71,0.63,216.7,-104.65,38.33,0.53,694.48,5.44,19.74,0.9,45.52,3.72,86.18,0.18,135.49,-38.24,76.7,0,226.74,-57.6,57.7,1.75,222.31,-19.1,51.44,4.83
Y,178.06,3.12,97.65,3.7,75.22,3.23,200.95,2.71,101.25,-21.94,283.88,2.22,4.79,-116.99,0,1.9,157.38,-36.78,35.65,3.3,161.31,-11.22,109.82,4.77,139.31,-29.1,112.18,3.29
Y,242.48,-5.32,81.17,1.42,119.14,-7.58,102.07,1.04,101.62,-8.21,113.3,1.01,89.25,-19.42,117.15,0.64,107.31,-8.36,103.8,0.77,93.82,-21.41,135.87,0.81,142.19,-17.33,92.53,0.92
Y,120.52,-5.1,344.9,1.79,79.1,0.01,223.41,1.65,66.42,-25.25,365.51,1.69,64.5,1.16,304.56,2.21,76.5,4.45,179.23,2.51,110.02,0.28,168.57,2.5,91.29,-7.03,252.43,2.38
Y,82.01,5.17,221.42,2.7,86.67,0.95,213.39,2.97,100.97,-4.55,301.65,2.95,90.47,-6.03,702.84,2.6,66.07,-14.16,4012.05,2.63,63.63,-19.58,5543.69,2.18,108.68,6.03,301.7,2.09
Y,100.88,-1.81,87.45,12.86,109.36,-0.71,85.69,15.98,94.47,-7.22,102.18,10.83,150.65,-1.35,75.46,9.96,142.27,-2.82,116.4,9.78,157.29,3.96,93.56,12.39,180.51,9.98,87.99,11.16
Y,190.98,6.27,81.56,5.33,163.83,8.08,141.8,5.53,190.08,5.64,122.31,5.4,146.91,5.29,152.35,4.82,147.35,2.25,178.1,4.61,246.44,2.83,157.98,3.83,184.49,3.53,84.89,3.97
Y,229.61,4.55,16.31,11.49,208.36,5.5,16.35,11.28,310.75,7.8,10.98,13.38,329.19,7.83,15.81,14.39,230.08,6.08,15.62,16.07,201.64,6.48,16.41,17.34,133.82,6.77,22.16,16.12
Y,119.84,1.07,241.88,3.34,120.19,-1.52,185.21,2.83,110.22,-8.85,224.9,2.86,113.6,0.91,212.79,3.51,120.36,0.7,190.97,3.76,116.52,2.09,192.52,3.93,130.46,5.85,160.15,4.03
Y,387.93,-10.44,10.83,1.45,1040.35,-34.41,3.26,1.91,210.44,-5.32,30.05,2.98,62.11,-11.03,38.18,3.4,132.15,2.24,25.74,2.86,587.25,-7.45,9.53,1.85,144.98,-33.89,51.53,3.22
Y,89.09,1.41,195.31,8.01,76.07,2.59,174.46,6.18,60.45,-4.03,203.37,7.79,58.81,2.37,184.95,8.13,56.73,4.1,159.04,7.99,57.25,6.98,124.75,8.87,62.14,4.07,125.82,8.96
Y,93.79,7.59,103.42,3.98,122.52,6.77,84.51,4.18,94.41,-2.76,93.05,0,4613.79,53.86,0.45,0.02,214.09,0.99,0.68,27.89,217.64,9.36,2.78,21.9,55.39,0,3.86,13.85
Y,92.55,0.82,134.22,5.32,68.34,2.95,121.03,5.39,81.01,2.02,112.99,0,99.25,-0.42,287.69,0,53.85,-0.38,5.37,16.02,6.17,-10.03,9.17,8.43,95.07,-26.4,7.24,9.25
Y,112.69,-1.47,178.13,4.14,96.42,-2.74,163.58,4.01,109.36,-2.41,81.4,3.44,97.05,1.96,78.73,4.36,88.8,2.8,66.06,5.11,91.24,3.97,61.42,5.04,75.28,1.97,62.99,4.59
