audit,2011B,2011C,2011D,2011E,2012B,2012C,2012D,2012E,2013B,2013C,2013D,2013E,2014B,2014C,2014D,2014E,2015B,2015C,2015D,2015E,2016B,2016C,2016D,2016E,2017B,2017C,2017D,2017E
Y,7.44,95.49,1.13,3.29,-2.37,99.59,0.8,2.24,-5.96,98.99,0.73,2.45,-22.88,101.39,0.71,2.59,1.46,88.6,0.97,3.37,6.98,82.49,1.01,3.25,0.08,85.97,0.93,2.75
Y,-5.67,72.03,0.13,1.15,17.64,28.94,0.09,1.35,3.78,34.1,0.14,2.09,5.1,31.88,0.29,3.08,3.34,21.42,0.33,3.33,4.32,8.62,0.45,3.53,4.27,8.81,0.62,3.67
Y,4,235.99,0.75,4.39,5.33,261.86,0.74,3.24,4,228.2,0.54,2.44,6.78,215.14,0.77,4.12,3.8,155.89,0.56,3.22,3.87,93.15,0.53,3.76,2.85,77.84,0.57,4.03
Y,0.47,97.79,0.95,1.94,-11.66,248.01,0.7,2.57,-43.18,443.46,0.37,2.22,21.66,25.04,0.13,1.53,-6.07,27.15,0.68,6.23,-33.4,40.66,0.37,2.89,-27.49,72.84,0.11,1.34
Y,-81.43,80.71,0.27,0.63,-104.65,38.33,0.36,0.53,5.44,19.74,0.69,0.9,3.72,86.18,0.11,0.18,-38.24,76.7,0,0,-57.6,57.7,0.35,1.75,-19.1,51.44,2.09,4.83
Y,3.12,97.65,0.98,3.7,3.23,200.95,0.66,2.71,-21.94,283.88,0.38,2.22,-116.99,0,0.3,1.9,-36.78,35.65,0.69,3.3,-11.22,109.82,1.56,4.77,-29.1,112.18,1.19,3.29
Y,-5.32,81.17,0.33,1.42,-7.58,102.07,0.28,1.04,-8.21,113.3,0.32,1.01,-19.42,117.15,0.24,0.64,-8.36,103.8,0.29,0.77,-21.41,135.87,0.31,0.81,-17.33,92.53,0.36,0.92
Y,-5.1,344.9,0.61,1.79,0.01,223.41,0.5,1.65,-25.25,365.51,0.5,1.69,1.16,304.56,0.72,2.21,4.45,179.23,0.82,2.51,0.28,168.57,0.86,2.5,-7.03,252.43,0.81,2.38
Y,5.17,221.42,0.85,2.7,0.95,213.39,0.87,2.97,-4.55,301.65,0.91,2.95,-6.03,702.84,0.9,2.6,-14.16,4012.05,0.85,2.63,-19.58,5543.69,0.75,2.18,6.03,301.7,0.87,2.09
Y,-1.81,87.45,1.87,12.86,-0.71,85.69,1.69,15.98,-7.22,102.18,1.18,10.83,-1.35,75.46,1.39,9.96,-2.82,116.4,1.17,9.78,3.96,93.56,1.53,12.39,9.98,87.99,1.72,11.16
Y,6.27,81.56,0.57,5.33,8.08,141.8,0.49,5.53,5.64,122.31,0.48,5.4,5.29,152.35,0.52,4.82,2.25,178.1,0.5,4.61,2.83,157.98,0.36,3.83,3.53,84.89,0.35,3.97
Y,4.55,16.31,0.95,11.49,5.5,16.35,0.91,11.28,7.8,10.98,0.97,13.38,7.83,15.81,0.9,14.39,6.08,15.62,0.8,16.07,6.48,16.41,0.75,17.34,6.77,22.16,0.76,16.12
Y,1.07,241.88,1.32,3.34,-1.52,185.21,1.15,2.83,-8.85,224.9,1.18,2.86,0.91,212.79,1.48,3.51,0.7,190.97,1.71,3.76,2.09,192.52,1.73,3.93,5.85,160.15,1.57,4.03
Y,-10.44,10.83,0.25,1.45,-34.41,3.26,0.28,1.91,-5.32,30.05,0.25,2.98,-11.03,38.18,0.19,3.4,2.24,25.74,0.37,2.86,-7.45,9.53,0.24,1.85,-33.89,51.53,0.26,3.22
Y,1.41,195.31,1.21,8.01,2.59,174.46,1.11,6.18,-4.03,203.37,1.13,7.79,2.37,184.95,1.09,8.13,4.1,159.04,1.04,7.99,6.98,124.75,1.03,8.87,4.07,125.82,1.1,8.96
Y,7.59,103.42,1.29,3.98,6.77,84.51,1.26,4.18,-2.76,93.05,0,0,53.86,0.45,0,0.02,0.99,0.68,0.02,27.89,9.36,2.78,0.03,21.9,0,3.86,0.03,13.85
Y,0.82,134.22,0.88,5.32,2.95,121.03,0.85,5.39,2.02,112.99,0,0,-0.42,287.69,0,0,-0.38,5.37,0.02,16.02,-10.03,9.17,0.04,8.43,-26.4,7.24,0.05,9.25
Y,-1.47,178.13,0.63,4.14,-2.74,163.58,0.63,4.01,-2.41,81.4,0.56,3.44,1.96,78.73,0.6,4.36,2.8,66.06,0.62,5.11,3.97,61.42,0.6,5.04,1.97,62.99,0.57,4.59
