audit,2011A,2011B,2011C,2011D,2011E,2011F,2012A,2012B,2012C,2012D,2012E,2012F,2013A,2013B,2013C,2013D,2013E,2013F,2014A,2014B,2014C,2014D,2014E,2014F,2015A,2015B,2015C,2015D,2015E,2015F
Y,66.15,60.19,88.71,55572131000,0.92,4.19,105.11,48.75,81.79,69170633000,0.62,3.48,117.15,46.05,86.49,73441327000,0.51,3.16,122.56,44.93,85.61,63334335000,0.51,3.05,80.87,55.29,63.18,75640838000,0.42,2.59
Y,54.03,64.92,67.03,53048212000,0.05,0,54.87,64.57,61.61,52399613000,0.06,0,54.22,64.84,89.17,51713233000,0.06,0,55.18,64.44,80.6,51147470000,0.06,0,9.03,91.72,388.53,38256138000,0.06,0
Y,882.83,10.17,50.45,6841344000,1.42,4.14,1557.51,6.03,41.97,5618385000,1.35,3.73,1177.59,7.83,42.82,5339825000,1.51,3.53,657.06,13.21,49.52,7851457000,1.22,2.67,417.53,19.32,40.3,5608038000,1.29,2.72
Y,260.77,27.72,48.87,1.12E+11,2.18,28.89,264.24,27.45,39.78,1.17E+11,1.91,27.87,293.98,25.38,61.3,1.18E+11,1.15,17.36,280.5,26.28,47.92,1.24E+11,1.29,18.64,257.96,27.94,50.56,1.19E+11,1.3,16.6
Y,89.63,52.73,73.69,5.58E+11,0.3,2.46,40.66,71.09,113.06,4.09E+11,0.2,3.21,40.71,71.07,84.89,4.30E+11,0.11,2.88,34.28,74.47,97.12,4.19E+11,0.2,3.5,34.76,74.21,104.98,3.96E+11,0.2,8.56
Y,259.52,27.81,43.92,71024111000,0.79,52.59,2174.68,4.4,34.79,50482246000,0.39,27.53,298.57,25.09,67.9,58729097000,0.66,113.87,422.39,19.14,52.34,50773483000,0.27,139.75,148.52,40.24,223.53,44717013000,0.23,72.25
Y,52.92,65.39,120.99,15691740000,2.02,11.5,81.18,55.19,97.05,19154581000,1.46,7.76,105.32,48.7,92.47,23372476000,0.94,6.17,100.53,49.87,80.82,23345928000,0.86,5.65,70.05,58.81,75.04,20594320000,1,5.77
Y,170.64,36.95,69.15,60778729000,1.63,6.82,175.01,36.36,76.61,76153402000,1.18,6.12,165.56,37.66,68.81,76729509000,0.98,6.17,142.98,41.16,57.41,76505408000,1.02,6,119.1,45.64,53.6,76501096000,1.04,5.33
Y,11.74,89.49,1817.75,14141725000,0.46,0,10.13,90.8,3077.79,15347837000,0.3,0,5.48,94.8,5185.35,15115148000,0.23,0,10.83,90.23,3653.47,16358861000,0.19,0,5.51,94.78,4811.02,16497865000,0.17,0
Y,20.68,82.86,151.82,11887539000,0.45,189.96,13.95,87.76,170.81,19435289000,0.3,84.18,79.32,55.77,57.45,39695386000,0.58,28.23,72.46,57.98,9.54,58604145000,0.05,3.14,49.95,66.69,49.31,45894072000,0.05,13.01
