,audit,2015D,2016D,2017D
0,Y,3.37,3.25,2.75
1,Y,3.33,3.53,3.67
2,Y,3.22,3.76,4.03
3,Y,6.23,2.89,1.34
4,Y,0,1.75,4.83
5,Y,3.3,4.77,3.29
6,Y,0.77,0.81,0.92
7,Y,2.51,2.5,2.38
8,Y,2.63,2.18,2.09
9,Y,9.78,12.39,11.16
10,Y,4.61,3.83,3.97
11,Y,16.07,17.34,16.12
12,Y,3.76,3.93,4.03
13,Y,0.85,1.51,1.3
14,Y,2.86,1.85,3.22
15,Y,7.99,8.87,8.96
16,Y,27.89,21.9,13.85
17,Y,16.02,8.43,9.25
18,Y,5.11,5.04,4.59
19,Y,7.37,14.25,8.63
20,Y,4.71,3.96,5.49
21,Y,2.89,2.84,2.83
22,Y,7.26,12.88,19.5
23,Y,4.49,4.75,5.3
24,Y,3.57,3.89,3.79
25,Y,1.87,1.66,2.19
26,Y,3.24,3.08,3.1
27,Y,2.29,2.33,1.02
28,Y,1.15,1.2,1.01
29,Y,3.12,3.69,3.87
30,Y,3.89,5.17,5.05
31,Y,2.68,3.02,3
32,Y,0.1,0.39,0.21
33,Y,4.49,5.41,4.97
34,Y,9.13,8.44,13.13
35,Y,1.3,5.91,5.54
36,Y,7.59,6.63,5.77
37,N,2.68,2.61,2.61
38,N,3.17,4.05,2.19
39,N,9.26,8.41,6.87
40,N,2.54,1.84,2.22
41,N,4.42,4.59,4.5
42,N,3.52,3.3,3.25
43,N,4.8,4.89,5
44,N,3.76,4.38,4.83
45,N,7.3,5.56,4.96
46,N,2.54,2.68,3
47,N,2.49,2.61,2.58
48,N,2.2,2.62,3.02
49,N,4.46,3.88,4.02
50,N,4.04,15.72,3.85
51,N,14.71,7.03,7.46
52,N,2.66,2.69,2.57
53,N,4.43,3.46,2.52
54,N,10.32,12.26,7.63
55,N,4.78,3.85,3.11
56,N,2.84,2.59,2.95
57,N,1.6,3.82,4.64
58,N,3.71,3.2,3.12
59,N,0.14,2.31,1.64
60,N,4.4,5.35,5.7
61,N,3.4,3.69,3.59
62,N,5.27,9.34,8.14
63,N,4.72,4.78,4.52
64,N,3.85,4.05,3.95
65,N,5.48,5.8,6.06
66,N,2.55,2.28,3.82
67,N,0,0,0
68,N,5.55,5.38,2.89
69,N,4.4,5.33,5.17
70,N,2.04,2.2,2.16
71,N,2.64,2.34,2.19
72,N,3.75,3.64,3.52
73,N,6.56,7.57,7.17
74,N,5.81,6,5.66
75,N,10.79,10.7,7.12
76,N,10.95,10.13,11.01
77,N,3.24,3.26,2.94
78,N,3.9,3.31,3.34
79,N,4.57,5.73,7.44
80,N,9.99,10.41,12.87
81,N,1.04,2.24,0.35
82,N,8.76,8.92,7.7
83,N,2.96,2.96,3.47
84,N,1.42,1.31,1.53
85,N,2.79,2.61,2.49
86,N,3.16,3.7,4.1
87,N,7.53,7.71,7.97
88,N,12.27,17.88,4.91
89,N,14.71,9.12,7.71
90,N,6.59,6.51,8.58
91,N,6.17,6.25,6.55
92,N,7.55,8.14,7.69
93,N,4.01,3.14,3.8
94,N,14.32,14.28,13.76
95,N,7.66,7.87,8.96
96,N,9.4,12.59,8.13
97,N,3.38,3.57,3.27
98,N,2.94,1.38,2.55
99,N,5.08,2.37,2.81
100,N,2.21,2.57,3.03
