,audit,2015E,2016E,2017E
0,Y,88.6,82.49,85.97
1,Y,21.42,8.62,8.81
2,Y,155.89,93.15,77.84
3,Y,27.15,40.66,72.84
4,Y,76.7,57.7,51.44
5,Y,35.65,109.82,112.18
6,Y,103.8,135.87,92.53
7,Y,179.23,168.57,252.43
8,Y,4012.05,5543.69,301.7
9,Y,116.4,93.56,87.99
10,Y,178.1,157.98,84.89
11,Y,15.62,16.41,22.16
12,Y,190.97,192.52,160.15
13,Y,222.58,197.88,208.88
14,Y,25.74,9.53,51.53
15,Y,159.04,124.75,125.82
16,Y,0.68,2.78,3.86
17,Y,5.37,9.17,7.24
18,Y,66.06,61.42,62.99
19,Y,172.29,165.85,124.23
20,Y,190.13,148.38,154.32
21,Y,154.11,161,160.35
22,Y,357.42,347.04,166.68
23,Y,73.09,62.56,49.65
24,Y,108.6,109.41,61.09
25,Y,51.46,50.01,32.01
26,Y,785.28,461.35,536.42
27,Y,105.35,46.94,115.77
28,Y,52.88,32.67,38.04
29,Y,276.52,325.65,487.9
30,Y,532.59,455.58,389.82
31,Y,143.54,130.91,108.27
32,Y,150.52,91.84,111.21
33,Y,96.88,68.47,129.12
34,Y,81.14,112.59,192.12
35,Y,63.78,45.48,38.99
36,Y,8.31,11.61,5.68
37,N,54.33,63.82,82.37
38,N,135.89,139.68,23.1
39,N,29.19,22.74,14.81
40,N,157.56,167.25,204.76
41,N,357.12,376.22,407.66
42,N,26.33,28.73,21.44
43,N,42.27,45.88,55.95
44,N,64.24,91,93.58
45,N,40.75,31.78,35.35
46,N,20.36,35.94,46.86
47,N,45.8,48.45,27.41
48,N,68.25,106.34,48.3
49,N,102.43,124.02,115.85
50,N,11.16,38.46,25.78
51,N,40.85,37.86,36.38
52,N,13.87,6.58,15.85
53,N,28.82,84.74,55.83
54,N,68.64,76.48,98.34
55,N,16.7,34.24,52.39
56,N,54.92,27.19,15.29
57,N,22.75,98.89,316.14
58,N,74.59,70.56,67.18
59,N,22.33,9.42,3.88
60,N,74.63,57.8,36.48
61,N,88.15,77.44,64.08
62,N,71.23,66.72,68.73
63,N,61.39,62.14,54.91
64,N,57.89,76.08,91.71
65,N,43.17,36.97,45.61
66,N,35.72,38.1,66.05
67,N,9.84,10.48,10.12
68,N,50.15,56.48,49.02
69,N,97.75,95.95,96.48
70,N,13.67,15.33,11.8
71,N,72.69,74.26,55.67
72,N,155.56,148.55,88.95
73,N,36.92,42.03,40.81
74,N,33.68,34.29,29.05
75,N,4.66,6.05,150.02
76,N,13.73,16.91,20.11
77,N,71.15,69.83,56.51
78,N,24.15,17.49,15.86
79,N,188.73,160.46,149.81
80,N,23.84,20.62,16.99
81,N,109.2,155.41,105.2
82,N,121.44,101.22,185.76
83,N,85.07,98.8,65.27
84,N,19.41,72.73,69.48
85,N,17.74,30.52,42.5
86,N,67.63,40.79,37.66
87,N,60.87,86.11,69.02
88,N,89.54,94.07,20.38
89,N,23.4,13.83,5.94
90,N,70.99,87.87,67.74
91,N,9.35,9.22,8.91
92,N,14.05,9.66,7.93
93,N,173.18,112.31,133.84
94,N,5.02,49.59,46.85
95,N,14.82,17.1,15.24
96,N,131.68,161.95,163.75
97,N,113.08,148.67,95.77
98,N,46.11,13.81,80.76
99,N,296.05,77.93,52.96
100,N,71.8,83.59,135.53
